erro,potencia esquerda,potencia direita
-251.10000000000002,81.10000000000002,-421.1
-204.60000000000002,34.60000000000002,-374.6
-204.60000000000002,34.60000000000002,-374.6
-241.8,71.80000000000001,-411.8
-158.10000000000002,-11.899999999999977,-328.1
-111.60000000000001,-58.39999999999999,-281.6
-148.8,-21.19999999999999,-318.8
-148.8,-21.19999999999999,-318.8
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-102.30000000000001,-67.69999999999999,-272.3
-93.0,-77.0,-263.0
-74.4,-95.6,-244.4
-102.30000000000001,-67.69999999999999,-272.3
-102.30000000000001,-67.69999999999999,-272.3
